uniqueid,osmid_u,osmid_v,length,lanes,speed_mph,u,v,lane_mile,taz_u,taz_v,taz
157973,65304090,65305036,193.524,1,20,89698,89782,0.12025053748741721,96.0,129.0,Boundary
157974,65304090,65296354,192.962,1,20,89698,88878,0.11990132600942001,96.0,96.0,96.0
157975,65304090,65304088,89.103,1,20,89698,89697,0.05536617495370773,96.0,96.0,96.0
157976,65304092,65304095,90.367,1,20,89699,89700,0.05615159009283309,96.0,129.0,Boundary
157977,65304092,65304090,86.91799999999999,1,20,89699,89698,0.0540084755241279,96.0,96.0,96.0
157978,65304092,2399950819,193.433,1,20,89699,198915,0.12019399256838208,96.0,129.0,Boundary
157979,65304092,3711294133,9.223,1,20,89699,209909,0.005730920750121169,96.0,96.0,96.0
157980,65304095,3853882368,193.172,1,20,89700,210372,0.12003181428411648,129.0,129.0,129.0
157981,65304095,65313409,77.155,1,20,89700,90742,0.047942013496215845,129.0,129.0,129.0
157982,65304095,65304099,91.212,1,20,89700,89701,0.05667665005530218,129.0,129.0,129.0
157983,65304095,65304092,90.367,1,20,89700,89699,0.05615159009283309,129.0,96.0,Boundary
157984,65304099,65296781,90.872,1,20,89701,88905,0.056465383324841245,129.0,129.0,129.0
157985,65304099,65304095,91.212,1,20,89701,89700,0.05667665005530218,129.0,129.0,129.0
157986,65304099,65356357,91.142,1,20,89701,93935,0.056633153963736686,129.0,129.0,129.0
157987,65304099,65305047,193.91,1,20,89701,89783,0.12049038736376404,129.0,129.0,129.0
157988,65304103,65306688,82.994,1,20,89702,89974,0.051570208905514066,129.0,129.0,129.0
157989,65304103,65304111,64.054,1,20,89702,89703,0.03980140927336673,129.0,129.0,129.0
157990,65304103,65296781,175.45600000000005,1,20,89702,88905,0.10902357488162853,129.0,129.0,129.0
157991,65304111,65304116,61.435,1,20,89703,89704,0.03817403407608088,129.0,129.0,129.0
157992,65304111,65304103,64.054,1,20,89703,89702,0.03980140927336673,129.0,129.0,129.0
157993,65304111,65310014,563.346,1,20,89703,90401,0.35004784570072206,129.0,130.0,Boundary
157994,65304116,65369824,56.339,2,20,89704,94578,0.07001503722022692,129.0,130.0,Boundary
157995,65304116,65304111,61.435,1,20,89704,89703,0.03817403407608088,129.0,129.0,129.0
157996,65304127,65369824,16.307000000000002,1,30,89705,94578,0.010132725216548401,130.0,130.0,130.0
157997,65304127,65304116,75.304,2,20,89705,89704,0.0935837051213541,130.0,129.0,Boundary
157998,65304144,65304146,91.961,1,20,89706,89707,0.05714205823505288,130.0,130.0,130.0
157999,65304144,258929532,70.78699999999998,1,20,89706,160745,0.04398511190922986,130.0,130.0,130.0
158000,65304144,65299504,118.738,1,20,89706,89227,0.07378055600432476,130.0,130.0,130.0
158001,65304146,65299488,120.797,1,20,89707,89226,0.07505996246908671,130.0,130.0,130.0
158002,65304146,65304150,51.437,1,20,89707,89708,0.03196154945505611,130.0,130.0,130.0
158003,65304146,65304144,91.961,1,20,89707,89706,0.05714205823505288,130.0,130.0,130.0
158004,65304150,65298083,108.44,1,20,89708,89075,0.06738165956230505,130.0,130.0,130.0
158005,65304150,65304146,51.437,1,20,89708,89707,0.03196154945505611,130.0,130.0,130.0
158006,65304150,65289203,187.488,1,20,89708,88073,0.11649993164899898,130.0,130.0,130.0
158010,65304165,65344112,89.527,1,20,89709,93132,0.05562963699404725,130.0,130.0,130.0
158011,65304165,65296411,262.51800000000003,1,20,89709,88887,0.163121528079834,130.0,130.0,130.0
158012,65304165,65297899,123.648,1,20,89709,89064,0.07683149614127531,130.0,130.0,130.0
158013,65304165,418586916,41.752,1,20,89709,173443,0.025943554500602733,130.0,130.0,130.0
158014,65304180,65298314,99.995,1,20,89711,89095,0.06213416680129743,127.0,127.0,127.0
158015,65304180,65304182,42.75899999999999,1,20,89711,89712,0.026569276846409084,127.0,127.0,127.0
158016,65304180,65304176,27.439,1,20,89711,89710,0.01704984652093405,127.0,127.0,127.0
158017,65304176,65314638,39.003,1,20,89710,90857,0.024235400847552414,127.0,127.0,127.0
158018,65304176,65304180,27.439,1,20,89710,89711,0.01704984652093405,127.0,127.0,127.0
158019,65304176,65283094,107.758,1,20,89710,87697,0.06695788335590988,127.0,127.0,127.0
158020,65304176,65297899,200.45,1,20,89710,89064,0.12455416506145377,127.0,130.0,Boundary
158021,65304182,65324122,76.487,1,20,89712,91714,0.04752693650813377,127.0,127.0,127.0
158022,65304182,65280432,33.230999999999995,1,20,89712,87619,0.020648837411609725,127.0,127.0,127.0
158023,65304182,65304180,42.75899999999999,1,20,89712,89711,0.026569276846409084,127.0,127.0,127.0
158024,65304219,65297210,92.882,1,20,89715,88976,0.057714342525507355,132.0,132.0,132.0
158025,65304219,65292176,199.354,1,20,89715,88320,0.12387314054208559,132.0,133.0,Boundary
