osmid,x,y,ref,highway,index,index_right,objectid,taz,district,county,gacres
65312238,-122.430678,37.757125,,,90612,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65312303,-122.43026,37.757155,,,90629,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65317404,-122.427167,37.762973,,,91102,1120.0,1121.0,104.0,3.0,San Francisco,110.599961067
65317406,-122.4285271,37.7628968,,traffic_signals,91103,1120.0,1121.0,104.0,3.0,San Francisco,110.599961067
65317408,-122.4321262,37.7626773,,,91104,1120.0,1121.0,104.0,3.0,San Francisco,110.599961067
65317409,-122.4329647,37.7626275,,,91105,1120.0,1121.0,104.0,3.0,San Francisco,110.599961067
65318046,-122.42839109999998,37.761281200000006,,traffic_signals,91192,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65318050,-122.4283241,37.7604909,,,91193,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65318052,-122.4281733,37.7589084,,,91194,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65318054,-122.4280747,37.7580933,,,91195,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65318056,-122.4279821,37.7573047,,,91196,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65324860,-122.4327945,37.761026,,,91785,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65324863,-122.4339044,37.7609586,,,91786,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65334101,-122.432407,37.75702,,,92525,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65361429,-122.432484,37.757821,,,94228,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65361430,-122.433591,37.757754,,,94229,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65361476,-122.4324331,37.7572755,,,94235,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65362642,-122.4328831,37.7618274,,,94305,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
65362645,-122.432716,37.760224,,,94306,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967878,-122.42617,37.7630289,,traffic_signals,160851,1120.0,1121.0,104.0,3.0,San Francisco,110.599961067
258967879,-122.4260895,37.7622008,,,160852,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967880,-122.4260164,37.7614313,,traffic_signals,160853,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967881,-122.4258623,37.7598278,,,160854,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967882,-122.4257858,37.7590313,,,160855,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967883,-122.4257094,37.7582362,,traffic_signals,160856,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967884,-122.4256328,37.7574389,,,160857,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
258967885,-122.4255559,37.7566385,,,160858,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
423748901,-122.4307488,37.7579264,,turning_circle,174144,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
581074040,-122.43042309999998,37.759299,,,179352,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
581074075,-122.4322012,37.7586432,,turning_circle,179353,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
581074077,-122.4301962,37.7587662,,,179354,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
2265957510,-122.4284481,37.7620605,,,197756,1060.0,1061.0,103.0,3.0,San Francisco,219.96655576
2339850868,-122.434064,37.7625548,,,198480,1120.0,1121.0,104.0,3.0,San Francisco,110.599961067
65293575,-122.4170442,37.7603733,,traffic_signals,88522,1069.0,1070.0,116.0,3.0,San Francisco,229.397553357
65293580,-122.41813799999998,37.7603055,,,88523,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65293581,-122.419228,37.7602424,,traffic_signals,88524,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65293586,-122.4199987,37.7601977,,,88525,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65293588,-122.42066,37.760148,,,88526,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65293593,-122.4214375,37.7601021,,traffic_signals,88527,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65298396,-122.420901,37.762625,,,89108,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65298398,-122.420813,37.761747,,,89109,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65298401,-122.4205075,37.7585506,,,89110,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65298403,-122.4203385,37.756954,,,89111,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65299793,-122.4204382,37.7633833,,,89266,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65302182,-122.416739,37.7571719,,traffic_signals,89450,1070.0,1071.0,117.0,3.0,San Francisco,112.73227604
65302184,-122.4178341,37.757108200000005,,,89451,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65302189,-122.4189227,37.7570441,,traffic_signals,89452,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65302192,-122.4196895,37.7569933,,,89453,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65302196,-122.4200115,37.7569738,,,89454,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65302199,-122.4211185,37.7569068,,traffic_signals,89455,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65317383,-122.4185035,37.7634988,,stop,91096,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65317386,-122.4195306,37.7634391,,traffic_signals,91097,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65317391,-122.4217399,37.763305200000005,,traffic_signals,91098,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319643,-122.4209648,37.7553033,,traffic_signals,91321,1123.0,1124.0,100.0,3.0,San Francisco,128.754708833
65319645,-122.421041,37.756102,,,91322,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319647,-122.421194,37.757701,,,91323,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319650,-122.4212725,37.75850429999999,,traffic_signals,91324,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319656,-122.421578,37.761701,,traffic_signals,91325,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319658,-122.4216696,37.7625781,,,91326,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319892,-122.420214,37.762666,,,91347,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319894,-122.420128,37.761789,,,91348,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
65319895,-122.4198416,37.7585908,,,91349,1061.0,1062.0,101.0,3.0,San Francisco,138.740159731
