x_x,y_x,x_y,y_y,time_departure
-122.4050568,37.7877685,-122.4095064,37.806137,33684.7
-122.4080561,37.7864339,-122.4071419,37.7606614,33684.7
-122.4036842,37.788901,-122.42756,37.764574,33688.4
-122.4103557,37.7822065,-122.4223678,37.7698737,33689.6
-122.4131792,37.786738,-122.4188105,37.7812425,33689.9
-122.4153391,37.7807264,-122.4088305,37.7676183,33690.7
-122.4097,37.7862213,-122.2270861,37.8465446,33690.8
-122.4102667,37.7890203,-122.4044406,37.7794476,33694.3
-122.4025983,37.791909,-122.4026819,37.7734816,33695.2
-122.4027912,37.7928594,-122.4038718,37.7898332,33695.3
-122.4180049,37.7765642,-122.2762196,37.8366246,33695.8
-122.3974037,37.7924404,-122.4172342,37.7984827,33697.3
-122.4169202,37.7776604,-122.4059164,37.7857139,33697.3
-122.4098893,37.7871562,-122.4203424,37.780077,33701.4
-122.4086156,37.7892289,-122.4578007,37.7657398,33702.3
-122.4022209,37.7900432,-122.4484411,37.7338151,33704
-122.4082332,37.7873668,-122.4354207,37.7649784,33705.3
-122.4111043,37.7822252,-122.435825,37.7401498,33705.3
-122.4050568,37.7877685,-122.3993791,37.7858875,33707.1
-122.4080561,37.7864339,-122.4049953,37.7697218,33707.3
-122.4024099,37.7909791,-122.273711,37.8315559,33708
-122.3982976,37.791734,-122.4226338,37.7921922,33711.1
-122.4027912,37.7928594,-122.4373055,37.7619275,33711.3
-122.4102667,37.7890203,-122.390971,37.7925459,33711.8
-122.4160889,37.7777726,-122.4166574,37.7872498,33712
-122.4144458,37.784664,-122.4024592,37.7635015,33716.6
-122.4059164,37.7857139,-122.4511855,37.7742578,33719.1
-122.4164231,37.7777453,-122.2561822,37.8654188,33720.3
-122.4162654,37.7774619,-122.4097,37.7862213,33721.7
-122.4050568,37.7877685,-122.0419026,38.2514466,33724
-122.4133664,37.7876672,-122.2994502,37.866275,33725
-122.4129919,37.7858081,-122.2918014,37.9004224,33726.6
-122.4149213,37.7788674,-122.4102667,37.7890203,33727.4
-122.3988009,37.7933647,-122.4028192,37.7570482,33728
-122.4067939,37.7885009,-122.4197253,37.7777824,33729.1
-122.4102667,37.7890203,-122.410688,37.7720599,33729.4
-122.4169202,37.7776604,-122.3924632,37.7562539,33729.9
-122.4020317,37.7891058,-122.4454603,37.7801368,33730
-122.4147017,37.7817657,-122.4324,37.7900473,33731
-122.4120997,37.7897443,-122.4060691,37.7781618,33731.1
-122.4005888,37.7902502,-122.4374149,37.7400102,33731.4
-122.3999769,37.7932159,-122.4077733,37.7731528,33733.2
-122.4029757,37.7937875,-122.4231658,37.7948284,33735.9
-122.416362,37.7775451,-122.4592978,37.7869244,33738.8
-122.4038718,37.7898332,-122.4059603,37.8066266,33739
-122.4089543,37.7863178,-122.4308001,37.7185369,33739.2
-122.3964008,37.7932487,-122.4299423,37.7694755,33740.2
-122.4007726,37.7911821,-122.3982588,37.786773,33740.3
-122.4124265,37.7830115,-122.4640601,37.7622783,33741.4
-122.4178444,37.7763691,-122.4089196,37.8071736,33746.2
-122.4052473,37.7887033,-122.4028474,37.779824,33749.1
-122.4029757,37.7937875,-122.4180455,37.7734806,33750.3
-122.4050568,37.7877685,-122.4495026,37.7466184,33752.1
-122.4007726,37.7911821,-122.1879747,37.8944656,33753.5
-122.3988009,37.7933647,-122.424787,37.7486359,33755.5
-122.4038718,37.7898332,-122.4850867,37.6615192,33756
-122.3999769,37.7932159,-122.437395,37.7731438,33759.2
-122.3989918,37.7942922,-122.4231381,37.7551725,33759.4
-122.4135549,37.7886026,-122.4122872,37.7906745,33760.9
-122.4000967,37.7903123,-122.5200844,37.9321126,33763.1
-122.4119117,37.7888113,-122.4070333,37.7978241,33765.6
-122.4146092,37.7812955,-122.4140462,37.7718632,33766
-122.4011522,37.7930673,-122.4339211,37.7850572,33768.5
-122.417548,37.7833151,-122.4833431,37.7445879,33768.8
-122.4000967,37.7903123,-122.4318427,37.7956473,33769
-122.4038718,37.7898332,-122.4215958,37.7520551,33770.7
-122.4000967,37.7903123,-122.4193813,37.7840364,33770.9
-122.4080561,37.7864339,-122.4327541,37.7918056,33773.3
-122.4068519,37.7856295,-122.3913106,37.7824696,33773.4
-122.4104533,37.7899531,-122.4327541,37.7918056,33773.8
-122.4007726,37.7911821,-122.2897477,37.8412951,33778.8
-122.4022209,37.7900432,-122.4097,37.7862213,33780
-122.3976272,37.7935131,-122.395882,37.7956177,33782
-122.4102667,37.7890203,-122.434043,37.7898377,33782.7
-122.414258,37.7837336,-122.4086203,37.7151594,33782.9
-122.4080561,37.7864339,-122.4679974,37.7349781,33783.3
-122.3999769,37.7932159,-122.449156,37.7725828,33783.6
-122.4082332,37.7873668,-122.2356666,37.8287941,33784.1
-122.4067939,37.7885009,-122.4789927,37.7208542,33784.6
-122.4160916,37.7844547,-122.4073052,37.7763152,33786
-122.4025983,37.791909,-122.4751407,37.6723619,33786.5
-122.406589,37.7875664,-122.4171256,37.7743254,33786.9
-122.4144458,37.784664,-122.4163191,37.7696677,33787.8
-122.4007726,37.7911821,-122.3969923,37.7963522,33789.5
-122.4120997,37.7897443,-122.3887018,37.7402882,33790.1
-122.399572,37.791327,-122.4355018,37.8060957,33791.3
-122.4050568,37.7877685,-122.4288368,37.7828342,33792.5
-122.4009593,37.7921162,-122.4054347,37.7896352,33797.1
-122.4129919,37.7858081,-122.4011522,37.7930673,33797.1
-122.4119117,37.7888113,-122.4051009,37.7473761,33797.7
-122.4171732,37.7814508,-122.4131999,37.7952148,33799.8
-122.4181563,37.777974,-122.2789101,37.5169401,33800.8
-122.4160916,37.7844547,-122.399572,37.791327,33802.8
-122.4148257,37.7787765,-122.450598,37.761565,33803
-122.4007726,37.7911821,-122.3884314,37.7817918,33803.5
-122.4054347,37.7896352,-122.4823741,37.7614697,33805.2
-122.4100772,37.7880844,-122.4341379,37.7336038,33807.7
-122.4135549,37.7886026,-122.2913313,37.9670678,33811.9
-122.4038718,37.7898332,-122.4001585,37.7812114,33812.7
-122.411723,37.7878756,-122.4745178,37.6937063,33813.2
-122.3975688,37.792548,-122.4023838,37.7794545,33813.5
-122.3999769,37.7932159,-122.4100772,37.7880844,33814.5
-122.4024099,37.7909791,-122.4459415,37.7691898,33817.2
-122.4011522,37.7930673,-122.4418853,37.7190613,33817.2
-122.4029838,37.7880314,-122.4008049,37.7711307,33818.2
-122.3991626,37.7910505,-122.4132085,37.7064485,33818.3
-122.4088057,37.7901622,-122.535074,37.940289,33818.4
-122.4029757,37.7937875,-122.3939349,37.7868664,33820.2
-122.411723,37.7878756,-122.4171965,37.7619709,33820.4
-122.4069817,37.7894357,-122.4028474,37.779824,33821.2
-122.4186146,37.7802716,-122.4393632,37.7994776,33822.3
-122.399572,37.791327,-122.4844287,37.6972718,33822.9
-122.4186146,37.7802716,-122.468176,37.775176,33824.5
-122.3991626,37.7910505,-122.4570732,37.7878097,33825.1
-122.4011522,37.7930673,-122.3504939,37.9761295,33825.8
-122.4034364,37.7876758,-122.4887627,37.7761118,33825.9
-122.4191918,37.7831061,-122.3912288,37.7916899,33827.9
-122.4036842,37.788901,-122.5619362,37.9075614,33828.4
-122.3974495,37.7926417,-122.4325552,37.7699155,33829.3
-122.4086156,37.7892289,-122.5003253,37.7569353,33829.6
-122.4180049,37.7765642,-122.4294656,37.7922234,33829.6
-122.4113476,37.7860145,-122.395253,37.733734,33831.4
-122.4024099,37.7909791,-122.3991626,37.7910505,33832.7
-122.4191918,37.7831061,-122.403883,37.779005,33834.3
-122.4007726,37.7911821,-122.395882,37.7956177,33835.5
-122.4020317,37.7891058,-122.4935265,37.7300583,33837.3
-122.4176198,37.7765433,-122.4471403,37.7709482,33837.9
-122.3988009,37.7933647,-122.4317813,37.7786354,33842.8
-122.4100772,37.7880844,-122.4195696,37.7521798,33843
-122.4186146,37.7802716,-122.4035205,37.8007921,33844.4
-122.4100772,37.7880844,-122.4243652,37.7680173,33844.9
-122.4007726,37.7911821,-122.421041,37.756102,33845
-122.4005888,37.7902502,-122.3967193,37.7855436,33845.2
-122.4067939,37.7885009,-122.419716,37.744712,33846.7
-122.4188105,37.7812425,-122.437772,37.775009,33847.2
-122.3966495,37.7945887,-122.4023944,37.7786114,33849.1
-122.4104533,37.7899531,-122.489894,37.6568512,33849.6
-122.4113476,37.7860145,-122.4444169,37.774163,33850.3
-122.4138822,37.7818704,-122.4036662,37.7660239,33852.4
-122.3974495,37.7926417,-122.4015165,37.7948646,33852.5
-122.4120997,37.7897443,-122.4582102,37.6879598,33852.9
-122.4038718,37.7898332,-122.5012675,37.7550239,33856.9
-122.4103557,37.7822065,-122.4012113,37.7609981,33857
-122.4057597,37.7915047,-122.451538,37.711728,33858.5
-122.4120997,37.7897443,-122.3891339,37.7168649,33858.6
-122.399572,37.791327,-121.8298149,38.4614495,33862.6
-122.4050568,37.7877685,-122.4133664,37.7876672,33864.5
-122.4136932,37.7809332,-122.494161,37.7609491,33864.6
-122.4020317,37.7891058,-122.4104533,37.7899531,33864.9
-122.4159033,37.7835243,-122.4549993,37.7104927,33869.2
-122.4084166,37.7882951,-122.4101426,37.8051004,33871.1
-122.4113476,37.7860145,-122.4524357,37.7778929,33872.7
-122.4020317,37.7891058,-122.3970541,37.6811769,33874.6
-122.4050568,37.7877685,-122.4177424,37.7702067,33879.7
-122.4082332,37.7873668,-122.5460527,38.0247023,33880.1
-122.4159033,37.7835243,-122.401957,37.748215,33880.3
-122.4136932,37.7809332,-122.390971,37.7925459,33883.2
-122.4138822,37.7818704,-122.4186155,37.7538439,33884.2
-122.4159033,37.7835243,-122.4211185,37.7569068,33885
-122.3974495,37.7926417,-122.5315933,37.8743199,33888.5
-122.4091399,37.7834292,-122.4338018,37.7802924,33889.2
-122.4135549,37.7886026,-122.4120025,37.7809809,33896.8
-122.4169854,37.782432,-122.4925565,37.6543748,33897
-122.41736,37.7823844,-122.4339201,37.6696286,33897.4
-122.4029757,37.7937875,-122.4191658,37.7734788,33897.5
-122.4064263,37.7903715,-122.3892986,37.7799063,33897.9
-122.4067939,37.7885009,-122.4063083,37.7755198,33901
-122.4054347,37.7896352,-122.4120562,37.7811625,33901.9
-122.4144458,37.784664,-122.3998333,37.7822132,33901.9
-122.3995716,37.7907272,-122.397564,37.789771,33905.2
